Bill ID,Customer Phone,Cart Id,Taxable Amount,Net Amount,Paid,Mode,Due,createdAt
1,9123456789,1,1000.00,1060.00,980.00,Cash,80.00,Tue Dec 15 17:04:00 2020
2,9123456780,2,4364.00,4625.84,4000.00,Bank,2000.00,Wed Dec 16 06:39:40 2020
3,9123456780,3,440,466.4,500,cash,-33.6,Wed Dec 16 08:45:22 2020
4,9123456780,4,44,46.64,120,cash,-73.36,Wed Dec 16 08:57:59 2020
5,9123456780,5,290,307.4,200,bank,107.4,Wed Dec 16 09:00:22 2020
6,9123456780,6,250,265,400,cash,-135,Wed Dec 16 09:05:15 2020
7,9123456789,7,104,110.24,2000,bank,-1889.76,Wed Dec 16 09:20:22 2020
8,9123456789,8,240,254.4,300,cash,64.64,Wed Dec 16 09:30:48 2020
9,9123456789,9,190,201.4,500,cash,-123.72,Wed Dec 16 09:39:52 2020
10,9123456780,10,40,42.4,0,none,-4.04,Wed Dec 16 09:58:25 2020
